Nº Hogares;EDAD DUEÑA DE CASA;N°INDIVIDUOS;GSE;GSE1;PADRES;CANTIDAD DE HIJOS;OTRO PARIENTE;HOMBRES EN EL HOGAR;MUJERES EN EL HOGAR;ESTADO CIVIL;NIVEL EDUC.JEFE DE HOGAR;Vivienda;Servicios Básicos;telecomunicaciones ;transporte;salud;educación;recreación y cultura;Alimentación;Vestuario y Calzado;Otros;articulos de belleza;articulos de aseo (Personal y del Hogar);ARRIENDO;DIVIDENDO;GASTOSCOMUNES;AGUA;ELECTRICIDAD;GAS;CALEFACCION;COMPRAARTEFACTOSCALEFACCIONESTUFASETC;TELEFONOFIJO;INTERNET;TVCABLE;TRANSPORTE_FURGON ESCOLAR;COMBUSTIBLE_LIQUIDO_GAS;SALUD MEDICA EN GENERAL;SALUD DENTAL EN GENERAL;MEDICAMENTOS                                                                                                                                                                 (AUTOMEDICACION Y PRESCRIPCION MEDICA;EDUCACION                                                                                                                                                                               (MATRICULA Y ARANCEL PRE BASICA);EDUCACION   (MATRICULA Y ARANCEL  BASICA);EDUCACION (MATRICULA Y ARANCEL MEDIA);EDUCACION                                                                                                                                                                                    (MATRICULA Y ARANCEL SUPERIOR);MANTENIMIENTO Y REPARACION DE                                                                                                                                      INFRAESTRUCTURA DOMICILIARIA;BIENES DURABLES                                                                                                                                (MUEBLES,ELECTRODOMESTICOS,ETC);SERVICIO DOMESTICO;DECORACION HOGAR;ARTICULOS DE BEBE;ARTICULOS DE NIÑOS;TELEFONO MOVIL;TRANSPORTE (LOCOMOCION COLECTIVA);RECREACION Y CULTURA;HOBBIES;ALMUERZO DIARIO FUERA DEL HOGAR;VESTUARIO Y CALZADO DE VESTIR;ZAPATILLAS;ARTICULOS DE BELLEZA;ASEO HOGAR;BEBESTIBLES CALIENTES;BEBESTIBLES FRIOS;ALIMENTOS NO PERECIBLES;ALIMENTOS PERECIBLES;CUIDADO PERSONAL
40;51;4;C3;MEDIO;AMBOS;2;0;3;1;CASADO;MEDIA COMPLETA;0;108.000;63.000;123.000;0;0;0;50.465;82.000;0;15.000;12.967;;;;20.000;28.000;45.000;15.000;;;;;;33.000;;;;;;;;;;;;;;63.000;90.000;;;;53.000;29.000;15.000;6.286;2.477;13.070;20.810;14.108;6.681
41;76;1;C3;MEDIO;SOLO MADRE;0;0;0;1;SEPARADO;BASICA COMPLETA;0;109.273;16.744;15.000;175.400;0;0;29.181;0;0;0;12.471;;;;21.590;32.683;30.000;25.000;;16.744;;;;;112.000;63.400;;;;;;;;;;;;;15.000;;;;;;;3.500;;5.371;13.554;10.256;8.971
42;33;6;C2;MEDIO;SOLO PADRE;2;3;5;1;VIUDO;MEDIA COMPLETA;0;98.000;105.000;90.000;55.000;18.000;0;63.411;43.600;25.700;10.000;31.486;;;;18.000;30.000;30.000;20.000;;;;30.000;;40.000;15.000;10.000;30.000;;18.000;;;;;;;;25.700;75.000;50.000;;;;;43.600;10.000;7.550;6.348;12.120;24.131;20.812;23.936
43;40;4;C1;ALTO;AMBOS;2;0;2;2;CASADO;TECNICA COMPLETA DE EDUCACION SUPERIOR;0;110.000;66.000;170.000;0;33.000;33.000;76.765;29.000;0;0;9.635;;;;20.000;28.000;45.000;17.000;;;21.000;;;80.000;;;;;33.000;;;;;;;;;45.000;90.000;33.000;;15.000;29.000;;;8.835;5.544;6.900;16.037;33.284;800
44;46;5;E;BAJO;AMBOS;2;1;2;3;CASADO;MEDIA COMPLETA;0;108.721;73.000;100.000;15.000;0;100.000;97.242;0;91.000;0;53.551;;;;16.320;19.401;45.000;28.000;25.000;17.000;21.000;10.000;;35.000;15.000;;;;;;;;;;;50.000;16.000;25.000;65.000;100.000;;;;;;16.660;1.200;24.207;42.142;29.693;36.891
45;62;2;C3;MEDIO;AMBOS;0;0;1;1;CASADO;MEDIA COMPLETA;0;68.000;51.000;280.000;0;0;30.000;82.838;0;0;10.000;23.220;;;;13.000;20.000;15.000;20.000;;25.000;;16.000;;260.000;;;;;;;;;;;;;;10.000;20.000;30.000;;;;;10.000;15.702;5.017;27.976;25.558;24.287;7.518
46;33;4;C2;MEDIO;AMBOS;2;0;2;2;CASADO;TECNICA COMPLETA DE EDUCACION SUPERIOR;600.000;45.000;20.590;45.000;0;19.000;0;64.578;0;0;0;21.466;;;;12.000;18.000;15.000;;;;13.090;;;40.000;;;;;19.000;;;600.000;;;;;;7.500;5.000;;;;;;;6.762;2.259;21.394;7.355;33.570;14.704
47;52;5;C2;MEDIO;AMBOS;2;1;3;2;CASADO;POST GRADO;180.000;158.000;128.000;155.000;600.000;90.000;45.000;115.582;45.000;60.000;10.000;11.992;180.000;;;36.000;52.000;60.000;10.000;60.000;20.000;20.000;20.000;;100.000;150.000;100.000;350.000;;;;90.000;;;;;;;68.000;55.000;45.000;;;30.000;15.000;10.000;2.713;9.630;8.930;39.060;57.962;9.279
48;64;2;C2;MEDIO;SOLO MADRE;1;0;0;2;SEPARADO;UNIVERSITARIA COMPLETA;0;72.000;102.000;50.000;308.000;0;0;47.871;20.000;25.000;10.000;18.023;;;;12.000;14.000;21.000;25.000;;15.000;15.000;15.000;;40.000;;300.000;8.000;;;;;;;;10.000;;15.000;57.000;10.000;;;;20.000;;10.000;5.620;2.666;5.127;22.670;17.408;12.403
49;63;2;C1;ALTO;AMBOS;0;0;1;1;CASADO;UNIVERSITARIA COMPLETA;200.000;265.000;202.000;100.000;330.000;0;20.000;112.941;0;658.000;0;26.350;;;100.000;25.000;80.000;40.000;120.000;;35.000;33.000;34.000;;100.000;;300.000;30.000;;;;;100.000;318.000;340.000;;;;100.000;;;20.000;30.000;;;;10.349;3.630;8.626;17.115;53.570;16.001
